DEF CON 26 SAO Genie Add-on Bill of Materials,,,,,,
April 2019,,,,,,
@mediumrehr,,,,,,
,,,,,,
Part,Value,Package,Part Number,Description,Digikey link,notes
"C6, 8, 10-12",0.1uF,603,,Capacitor,,
"C7, 9",22pF,603,,Capacitor,,
D1,amber,1206,,LED,,
J1,2x2,"0.1"" pitch",,SAO Male header Connector,,
J2,2x2,"0.1"" pitch",,SAO Female header Connector,,
L1,FB - 30Ohm,603,,Inductor,,
"R3, 4, 11",10K,805,,Resistor,,
R5,68,603,,Resistor,,
U4,,48-TQFP,ATSAMD21G18A,IC MCU 32BIT 256KB FLASH,https://www.digikey.com/product-detail/en/microchip-technology/ATSAMD21G18A-AUT/ATSAMD21G18A-AUTCT-ND/4878879,
Y1,32.768KHz,2-SMD,ABS06-127-32.768KHZ-T,Crystal,https://www.digikey.com/product-detail/en/abracon-llc/ABS06-127-32.768KHZ-T/535-14513-1-ND/8827204,
